id	document	label
1	내일 할 일이 많아서 기쁘다. 가끔은 바쁜 것이 행복하다.	1
2	오늘 일기예보는 흐리고 비가 올 것이라고 했는데, 다행이 비는 안 왔다. 하지만 구름이 많아서 그다지 맑지는 않았다.  	1
3	시험 공부를 열심히 했는데, 시험에서 받은 성적이 나의 기대에는 못 미쳤다. 하지만 떨어지진 않아 다행이라 생각한다.    	1
4	오랜만에 친구를 만났는데, 얘기를 많이 못 나눴다. 다음에는 좀 더 시간을 가지고 재미있게 이야기를 나누자.  	1
5	오늘 운동을 했는데, 제대로 된 운동량을 채우지 못했다. 하지만 조금이라도 한 것이 나을 것 같다.  	1
6	회사 성과가 나의 기대에 미치지 못했다. 하지만 실패한 것도 아니고, 다음에는 더 잘할 수 있을 것이다.  	1
7	오랜만에 여행을 다녀왔다. 별로 흥미로운 관광지는 아니었지만 좋은 휴식이 되었다.  	1
8	내가 하고 싶어 했던 일이 취소되어 아쉬웠다. 하지만 내년에 다시 기회가 올 것이다.  	1
9	새로 사려고 했던 물건을 사지 못했다. 예산 부족이었는데, 긍정적으로 보자면 절약한 셈이다.  	1
10	큰 실수 없이 일을 마쳤다. 다소 수월하지만은 않았지만, 큰 차질없이 끝마쳤다는 것에 의의가 있다.  	1
11	바쁜 하루였다. 별다른 성과를 거두진 못했지만 하루 일과를 무사히 마친 것 같아 다행스럽다.  	1
12	오늘 날씨가 매우 좋다. 푸른 하늘을 바라보며 산책을 나섰다. 가슴 속까지 상쾌함을 느꼈다.  	1
13	친구의 생일 파티에 초대받았다. 재미있는 시간을 보냈고, 선물도 마음에 들어했던 것 같다.	1
14	엄마가 시간을 내서 제가 좋아하는 음식을 직접 만들어주셨다. 정말 고마웠다.	1
15	오랜만에 독서의 즐거움을 느꼈다. 몰입하며 읽는 시간이 행복했다.	1
16	회사 동료들과 수다 떨며 점심을 먹었다. 서로 반갑고 즐거운 시간이었다.	1
17	정원 가꾸기를 시작했다. 새 식물을 심는 것이 뿌듯했다.	1
18	산책을 나섰다가 귀여운 강아지를 만났다. 강아지가 친근감을 보여서 기분이 좋아졌다.	1
19	잠시 숨 가쁘게 달려온 뒤 집에 도착했다. 운동의 성취감이 들었다.	1
20	오랜만에 가족들이 모여서 저녁식사를 했다. 따뜻한 시간이었다.	1
21	취미 활동을 하며 새로운 도전에 성공했다. 뿌듯함을 느꼈다.	1
22	오늘 아침에 일어나자마자 창밖 풍경이 아름다웠다. 기분 좋은 하루의 시작이다.	1
23	산책을 나갔다가 동네 고양이를 보았다. 사랑스러웠다.	1
24	정원에 심어둔 꽃들이 예쁜 꽃을 피웠다. 마음이 설레인다.	1
25	좋아하는 음악을 틀고 청소를 했다. 일이 즐거웠다.	1
26	오랜만에 친구들과 영화 보러 갔다. 재밌고 즐거운 시간이었다.	1
27	행복한 하루였다. 아무 걱정거리 없이 가볍게 지낼 수 있어서 기분이 좋다.	1
28	요즘 일이 잘 풀리는 것 같다. 긍정적인 에너지가 넘치는 듯하다.	1
29	오늘 점심 메뉴가 맛있었다. 배도 부르고 기분도 좋다.	1
30	새로운 취미 활동을 시작했다. 재미있고 유익한 시간이다.	1
31	좋아하는 사람과의 데이트가 성공적이었다. 행복하다.	1
