Pharrell Williams - Happy,DPR IAN – Zombie pop,Carpenters - Close To You,빈지노 – 바보같이,빈지노 - If I Die Tomorrow
Mark Ronson ft. Bruno Mars - Uptown Funk,오왼 오바도즈 – Buddy,성시경 – 차마,빈지노 - Always Awake,J.Lu - Love Yourself
Beyoncé - Crazy in Love,빈지노 - Nike Shoes,나이트오프 – 잠,Easy Life – Nightmares,Jessica Domingo - After Midnight (Prod. by Chris Mazuera)
XXXTENTACION - Look at me!,High Hopes - Panic! At the Disco,Colde(콜드) - 넌 쉽게 말했지만,디오 – 괜찮아도 괜찮아,The Weeknd – Die for you
Travis Scott - SICKO MODE,C JAMM – ㅈ,새소년 – 눈,김세정 - 꽃길,UPSAHL – Thriving
Roddy Ricch - The Box,"SINCE - UP해 (Feat. 박재범, 우원재)",곽진언 – 자유롭게,아이유 – 무릎,Hugel - WTF (feat. Amber Van Day)
Cardi B - I Like It,Tyga - Lift Me Up,릴러말즈 - Out of my sight,종현 – Lonely,Taylor Swift - Look What You Made Me Do
A$AP Rocky - Praise The Lord,Lil Nas X - J CHRIST,"TOIL, Gist - 처음 마주쳤을 때처럼",Rnla & Julia Alexa - like everybody else,Rosie Darling – Coping
Future - Mask Off,빈지노 – Flexin,pH-1 - COSIGN (Feat. oygli),MIIA – Dynasty,권진아 – 위로
딘(DEAN) – 21,"노윤하, CHERRY BOY 17 - 엉덩이가 시려 (Feat. unofficialboyy, Lil tachi)",Migos – Cocoon,OCTOBER – DAY,볼빨간사춘기 – 나의 사춘기에게
Desiigner – Panda,"Way Ched (웨이체드) – EVERYTHING(Feat. 창모, Coogie, ASH ISLAND & BIBI))",이하이 - For You (Feat. Crush),Billie Eilish - everything i wanted,"옥상달빛 – 수고했어, 오늘도"
DPR LIVE - Jam & Butterfly,"킬라그램 (Killagramz) – 어디((Feat. DEAN, 지코 (ZICO))",Hoody - D-day (Feat. 기리보이),Malibu Nights – LANY,Billie Eilish - listen before i go
"Connor Price, Haviah Mighty – Trendsetter",ASH ISLAND – 멜로디,Jiselle - Lemonade (Feat. 우원재),Falling - Harry Styles,Billie Eilish - Six Feet Under
"Connor Price, Killa – Violet","SiK-K, pH-1, 박재범 – iffy",김승민 - 내 기쁨은 너가 벤틀리를 끄는 거야,최유리 – 뻐끔,Billie Eilish – dontwannabeyouanymore
"Stunna 4 Vegas, Offset - Up The Smoke",Tyga - Ayy Macarena,pH1 – Used To Be,김나영 - 솔직하게 말해서 나,In My Head - Peter Manos
"The Weekend, Kendrick Lamar – Pray For Me (Explicit Ver.)",Migos - Taco Tuesday,다이나믹 듀오 – 거기서거기(Without You),볼빨간사춘기 - X Song,offonoff – bath
뉴진스(NewJeans) – ETA,Blase - Big Boy (Feat. Ash-B),재지팩트 – 하루종일,휘인 – 헤어지자,김사월 - 사랑하는 사람들에게 가장 상처 주는 키를 우리는 모두 가지고 있어
Lobonabeat! – 빵댕이(Feat.노윤하),Drake ft. 21 Savage - Jimmy Cooks,서동현 – 잠깐만,김나영 – 이별후회,리쌍 – 행복을 찾아서(피쳐링. 조현아 of 어반자
,,서동현 – 낭만교향곡,E SENS – downwithyou,
,,아이유 – Love wins all,딘 – DIE 4 YOU,
,,,유라(youra) - my,
